Year,CO2_Emissions,Forest_Loss,Energy_Consumption,Industrial_Index,Temperature_Rise
1991,21.0,0.8,320,45,0.18
1992,21.3,0.82,325,46,0.19
1993,21.6,0.85,330,47,0.20
1994,22.0,0.88,335,48,0.21
1995,22.4,0.90,340,49,0.22
1996,22.8,0.93,345,50,0.23
1997,23.2,0.96,350,51,0.24
1998,23.6,1.00,355,52,0.25
1999,24.0,1.05,360,53,0.27
2000,24.5,1.10,370,54,0.28
2001,25.0,1.15,380,55,0.29
2002,25.5,1.20,390,56,0.30
2003,26.0,1.30,400,57,0.32
2004,26.5,1.40,410,58,0.33
2005,27.0,1.50,420,59,0.34
2006,27.5,1.60,430,60,0.36
2007,28.0,1.70,440,61,0.37
2008,28.5,1.80,450,62,0.38
2009,29.0,1.90,460,63,0.39
2010,29.5,2.00,470,64,0.41
2011,30.0,2.10,480,65,0.42
2012,30.5,2.20,490,66,0.44
2013,31.0,2.30,500,67,0.45
2014,31.5,2.40,510,68,0.46
2015,32.0,2.50,520,69,0.48
2016,32.5,2.60,530,70,0.49
2017,33.0,2.70,540,71,0.50
2018,33.5,2.80,550,72,0.52
2019,34.0,2.90,560,73,0.53
2020,34.5,3.00,570,74,0.55
2021,35.0,3.10,580,75,0.56
2022,35.5,3.20,590,76,0.57
2023,36.0,3.30,600,77,0.58
2024,36.5,3.40,620,78,0.59
2025,37.0,3.50,640,80,0.61
